iter	CrossEntropy
0	0.6877360164
1	0.6823719863
2	0.6756511667
3	0.6736230646
4	0.666212806
5	0.6609004543
6	0.6553980708
7	0.6508549446
8	0.6472907
9	0.6442286748
10	0.6412459231
11	0.6370923963
12	0.6328500478
13	0.6291051433
14	0.6268790731
15	0.622817309
16	0.6186809044
17	0.6148036002
18	0.6117411864
19	0.6078832469
20	0.6053799279
21	0.6020010128
22	0.5986426176
23	0.5956345566
24	0.5931207316
25	0.5902232378
26	0.5884975685
27	0.5857310499
28	0.5830922769
29	0.5815849244
30	0.579848378
31	0.5781053906
32	0.5755755581
33	0.5732658016
34	0.571627891
35	0.5702630068
36	0.5677660696
37	0.5660251193
38	0.5645744867
39	0.5623512164
40	0.5610179417
41	0.5573020535
42	0.5554728354
43	0.5536384542
44	0.5520838387
45	0.5505093271
46	0.5484479085
47	0.5460816236
48	0.5447054228
49	0.543458164
50	0.5417787679
51	0.5408541798
52	0.538717932
53	0.5372548789
54	0.5350216283
55	0.5340687547
56	0.5315415049
57	0.529728053
58	0.5281705889
59	0.5270672896
60	0.5239215594
61	0.5227391388
62	0.5207570461
63	0.5195705674
64	0.5180136163
65	0.5161203888
66	0.5137974085
67	0.5124038781
68	0.51068974
69	0.5092017634
70	0.507112176
71	0.5057281312
72	0.5050515153
73	0.5022614986
74	0.5012926331
75	0.4998219718
76	0.4987403171
77	0.4972799304
78	0.4959995249
79	0.4938945217
80	0.4929822993
81	0.4908833783
82	0.4894076686
83	0.4877112685
84	0.4862030578
85	0.484299195
86	0.4826122718
87	0.4813151182
88	0.480346963
89	0.4792041785
90	0.4776712817
91	0.4753767337
92	0.4737187308
93	0.4727174055
94	0.4718302325
95	0.4709541164
96	0.4700375498
97	0.468844703
98	0.4670458978
99	0.4660885028
100	0.4652332921
101	0.4638873388
102	0.4628777867
103	0.4614565386
104	0.460772726
105	0.459942537
106	0.458424974
107	0.4574064979
108	0.4560170575
109	0.4545135671
110	0.4535564505
111	0.4523907876
112	0.4511827265
113	0.4494047749
114	0.4484708771
115	0.4475424517
116	0.4464502791
117	0.4453102919
118	0.4437547206
119	0.4423712542
120	0.441376632
121	0.4402815408
122	0.4379981075
123	0.4366888953
124	0.4351861997
125	0.4341881371
126	0.4328526855
127	0.4322031473
128	0.4313426057
129	0.4301124502
130	0.4289398701
131	0.4281342072
132	0.4270584866
133	0.4257733987
134	0.4249731105
135	0.4240388105
136	0.4228893591
137	0.4218669764
138	0.4209938197
139	0.4188992705
140	0.417876585
141	0.4168328572
142	0.4156562033
143	0.4143600115
144	0.4131230726
145	0.4118866231
146	0.4113108927
147	0.4101282895
148	0.4092667576
149	0.4078941619
150	0.4071644223
151	0.4060667113
152	0.4047352039
153	0.4036677538
154	0.4023770395
155	0.4011253598
156	0.3996350719
157	0.3990440783
158	0.3981836497
159	0.3974562515
160	0.3961712717
161	0.3954088469
162	0.3937541557
163	0.3927513997
164	0.3915138908
165	0.3902596898
166	0.3889547207
