iter	Passed	Remaining
0	133	66693
1	144	36050
2	153	25375
3	161	20022
4	170	16913
5	179	14805
6	189	13376
7	198	12189
8	209	11421
9	217	10664
10	227	10131
11	237	9655
12	246	9237
13	259	8992
14	270	8742
15	280	8495
16	291	8283
17	300	8041
18	310	7849
19	319	7659
20	329	7518
21	338	7345
22	346	7191
23	356	7066
24	365	6948
25	374	6827
26	384	6738
27	393	6633
28	402	6539
29	410	6435
30	418	6337
31	428	6272
32	437	6195
33	446	6126
34	455	6045
35	466	6016
36	475	5945
37	483	5878
38	491	5810
39	499	5748
40	508	5688
41	517	5641
42	526	5595
43	534	5543
44	545	5512
45	554	5468
46	563	5432
47	572	5390
48	580	5339
49	589	5305
50	597	5259
51	605	5220
52	613	5176
53	623	5146
54	631	5105
55	639	5067
56	647	5033
57	657	5013
58	666	4979
59	675	4954
60	685	4931
61	693	4897
62	703	4881
63	712	4853
64	721	4831
65	731	4807
66	740	4784
67	750	4769
68	759	4744
69	773	4751
70	784	4739
71	794	4720
72	805	4709
73	814	4689
74	824	4673
75	835	4662
76	844	4638
77	855	4629
78	867	4625
79	879	4616
80	888	4595
81	898	4577
82	907	4559
83	917	4542
84	925	4521
85	963	4640
86	989	4697
87	1017	4762
88	1034	4777
89	1055	4806
90	1066	4792
91	1078	4780
92	1086	4754
93	1095	4730
94	1103	4704
95	1113	4684
96	1123	4668
97	1132	4645
98	1141	4623
99	1149	4598
100	1160	4582
101	1169	4565
102	1180	4548
103	1190	4534
104	1199	4512
105	1209	4494
106	1218	4474
107	1228	4459
108	1237	4440
109	1247	4422
110	1257	4407
111	1266	4386
112	1278	4379
113	1287	4359
114	1296	4342
115	1309	4335
116	1319	4318
117	1329	4302
118	1339	4287
119	1348	4270
120	1361	4265
121	1371	4249
122	1380	4232
123	1390	4217
124	1400	4200
125	1409	4184
126	1419	4169
127	1430	4156
128	1441	4146
129	1451	4129
130	1459	4112
131	1469	4096
132	1478	4078
133	1486	4060
134	1494	4041
135	1503	4023
136	1512	4007
137	1520	3989
138	1530	3976
139	1539	3958
140	1547	3939
141	1553	3917
142	1560	3895
143	1567	3876
144	1574	3855
145	1582	3835
146	1588	3815
147	1596	3796
148	1602	3775
149	1610	3756
150	1617	3738
151	1623	3717
152	1632	3702
153	1640	3686
154	1647	3668
155	1654	3647
156	1660	3628
157	1666	3607
158	1673	3588
159	1679	3568
160	1685	3549
161	1694	3534
162	1702	3519
163	1709	3501
164	1715	3483
165	1721	3464
166	1728	3447
167	1734	3427
168	1741	3411
169	1748	3395
170	1756	3378
171	1762	3360
172	1769	3344
173	1776	3327
174	1782	3309
175	1788	3292
176	1794	3275
177	1801	3259
178	1809	3244
179	1815	3228
180	1822	3211
181	1828	3195
182	1837	3182
183	1845	3168
184	1853	3156
185	1863	3145
186	1870	3130
187	1877	3116
188	1885	3102
189	1893	3089
190	1901	3075
191	1909	3062
192	1916	3048
193	1924	3034
194	1932	3021
195	1939	3008
196	1947	2995
197	1955	2983
198	1963	2970
199	1971	2957
200	1978	2943
201	1987	2931
202	1995	2919
203	2003	2907
204	2013	2897
205	2022	2886
206	2032	2876
207	2040	2864
208	2049	2852
209	2056	2840
210	2065	2828
211	2073	2816
212	2083	2807
213	2092	2796
214	2101	2785
215	2110	2775
216	2119	2763
217	2128	2754
218	2137	2742
219	2146	2731
220	2156	2721
221	2165	2711
222	2173	2700
223	2182	2688
224	2195	2683
225	2208	2677
226	2222	2672
227	2234	2665
228	2252	2665
229	2261	2654
230	2271	2644
231	2279	2633
232	2289	2623
233	2298	2612
234	2307	2602
235	2316	2591
236	2327	2582
237	2336	2572
238	2346	2562
239	2354	2550
240	2362	2539
241	2372	2529
242	2380	2517
243	2389	2506
244	2397	2495
245	2405	2483
246	2413	2472
247	2422	2461
248	2430	2449
249	2439	2439
250	2447	2428
251	2456	2417
252	2463	2405
253	2472	2394
254	2479	2382
255	2487	2371
256	2495	2359
257	2503	2348
258	2510	2335
259	2518	2324
260	2527	2314
261	2535	2303
262	2543	2292
263	2552	2281
264	2561	2271
265	2570	2261
266	2579	2250
267	2588	2240
268	2599	2232
269	2613	2226
270	2624	2218
271	2636	2210
272	2646	2200
273	2658	2193
274	2672	2186
275	2684	2178
276	2697	2171
277	2705	2160
278	2716	2151
279	2727	2143
280	2737	2133
281	2747	2123
282	2757	2114
283	2767	2105
284	2781	2097
285	2792	2089
286	2805	2082
287	2820	2075
288	2837	2071
289	2849	2063
290	2859	2053
291	2870	2044
292	2880	2035
293	2891	2026
294	2903	2017
295	2912	2006
296	2921	1996
297	2929	1985
298	2942	1978
299	2956	1971
300	2968	1962
301	2977	1951
302	2988	1942
303	2997	1932
304	3008	1923
305	3016	1912
306	3025	1901
307	3034	1891
308	3041	1880
309	3050	1869
310	3059	1859
311	3072	1851
312	3081	1840
313	3089	1830
314	3098	1819
315	3107	1809
316	3115	1798
317	3126	1789
318	3135	1779
319	3144	1768
320	3153	1758
321	3161	1747
322	3174	1739
323	3184	1729
324	3193	1719
325	3202	1709
326	3212	1699
327	3221	1689
328	3232	1679
329	3240	1669
330	3250	1659
331	3258	1648
332	3271	1640
333	3282	1631
334	3292	1621
335	3302	1611
336	3310	1601
337	3319	1590
338	3325	1579
339	3333	1568
340	3342	1558
341	3349	1547
342	3355	1536
343	3362	1525
344	3368	1513
345	3375	1502
346	3381	1491
347	3389	1480
348	3396	1469
349	3403	1458
350	3412	1448
351	3418	1437
352	3426	1426
353	3434	1416
354	3441	1405
355	3448	1394
356	3454	1383
357	3460	1372
358	3467	1361
359	3473	1350
360	3480	1339
361	3486	1329
362	3493	1318
363	3500	1308
364	3507	1297
365	3514	1286
366	3520	1275
367	3527	1265
368	3533	1254
369	3540	1244
370	3547	1233
371	3553	1222
372	3559	1211
373	3566	1201
374	3572	1190
375	3579	1180
376	3585	1169
377	3591	1159
378	3598	1148
379	3605	1138
380	3612	1128
381	3618	1117
382	3624	1107
383	3630	1096
384	3636	1086
385	3643	1076
386	3649	1065
387	3655	1055
388	3664	1045
389	3670	1035
390	3677	1025
